,PostalCode,DAuid,CSDuid,SAC,DisseminationBlock,DGUID
681779,V0H,59050067,5905032,998,8,2021S057659050067
745785,V0H,59050067,5905032,998,7,2021S057759050067
745786,V0H,59050067,5905032,998,21,2021S057859050067
788319,V0H,59050067,5905032,998,13,2021S057959050067
852615,V0H,59050067,5905032,998,10,2021S058059050067
852616,V0H,59050067,5905032,998,9,2021S058159050067
874163,V0H,59050067,5905032,998,23,2021S058259050067
959589,V0H,59050067,5905032,998,14,2021S058359050067
959590,V0H,59050067,5905032,998,6,2021S058459050067
1066549,V0H,59050067,5905032,998,23,2021S058559050067
1066551,V0H,59050067,5905032,998,19,2021S058659050067
1301883,V0H,59050067,5905032,998,5,2021S058759050067
1323158,V0H,59050067,5905032,998,4,2021S058859050067
1366329,V0H,59050067,5905032,998,26,2021S058959050067
446335,V0H,59050068,5905032,998,41,2021S059059050068
125614,V0H,59050070,5905032,998,3,2021S059159050070
168555,V0H,59050070,5905032,998,18,2021S059259050070
339569,V0H,59050070,5905032,998,20,2021S059359050070
360997,V0H,59050070,5905032,998,16,2021S059459050070
382293,V0H,59050070,5905032,998,19,2021S059559050070
767097,V0H,59050070,5905032,998,2,2021S059659050070
275473,V0H,59050071,5905032,998,5,2021S059759050071
767095,V0H,59050071,5905032,998,5,2021S059859050071
1023856,V0H,59050071,5905032,998,15,2021S059959050071
1066548,V0H,59050071,5905032,998,5,2021S060059050071
40093,V0H,59050072,5905032,998,20,2021S060159050072
40094,V0H,59050072,5905032,998,26,2021S060259050072
82994,V0H,59050072,5905032,998,11,2021S060359050072
125615,V0H,59050072,5905032,998,9,2021S060459050072
147186,V0H,59050072,5905032,998,56,2021S060559050072
275475,V0H,59050072,5905032,998,8,2021S060659050072
339570,V0H,59050072,5905032,998,56,2021S060759050072
467696,V0H,59050072,5905032,998,59,2021S060859050072
553572,V0H,59050072,5905032,998,2,2021S060959050072
553573,V0H,59050072,5905032,998,45,2021S061059050072
595978,V0H,59050072,5905032,998,13,2021S061159050072
703225,V0H,59050072,5905032,998,19,2021S061259050072
703226,V0H,59050072,5905032,998,58,2021S061359050072
831259,V0H,59050072,5905032,998,14,2021S061459050072
874165,V0H,59050072,5905032,998,12,2021S061559050072
895601,V0H,59050072,5905032,998,47,2021S061659050072
1066552,V0H,59050072,5905032,998,54,2021S061759050072
1195130,V0H,59050072,5905032,998,60,2021S061859050072
104112,V0H,59050073,5905032,998,25,2021S061959050073
232823,V0H,59050073,5905032,998,25,2021S062059050073
339566,V0H,59050073,5905032,998,22,2021S062159050073
1109356,V0H,59050073,5905032,998,27,2021S062259050073
168557,V0H,59050074,5905052,998,22,2021S062359050074
318089,V0H,59050074,5905052,998,26,2021S062459050074
360998,V0H,59050074,5905052,998,13,2021S062559050074
360999,V0H,59050074,5905052,998,27,2021S062659050074
553575,V0H,59050074,5905052,998,20,2021S062759050074
617346,V0H,59050074,5905052,998,27,2021S062859050074
681778,V0H,59050074,5905052,998,1,2021S062959050074
724361,V0H,59050074,5905052,998,24,2021S063059050074
767098,V0H,59050074,5905052,998,15,2021S063159050074
895602,V0H,59050074,5905052,998,21,2021S063259050074
1023855,V0H,59050074,5905052,998,14,2021S063359050074
1088154,V0H,59050074,5905052,998,23,2021S063459050074
1130811,V0H,59050074,5905052,998,26,2021S063559050074
1237836,V0H,59050074,5905052,998,25,2021S063659050074
61626,V0H,59050075,5905052,998,38,2021S063759050075
82995,V0H,59050075,5905052,998,19,2021S063859050075
104113,V0H,59050075,5905052,998,39,2021S063959050075
125616,V0H,59050075,5905052,998,26,2021S064059050075
168556,V0H,59050075,5905052,998,9,2021S064159050075
211156,V0H,59050075,5905052,998,3,2021S064259050075
467697,V0H,59050075,5905052,998,11,2021S064359050075
510463,V0H,59050075,5905052,998,39,2021S064459050075
553574,V0H,59050075,5905052,998,7,2021S064559050075
916888,V0H,59050075,5905052,998,38,2021S064659050075
959591,V0H,59050075,5905052,998,23,2021S064759050075
959592,V0H,59050075,5905052,998,28,2021S064859050075
1259095,V0H,59050075,5905052,998,41,2021S064959050075
1280676,V0H,59050075,5905052,998,40,2021S065059050075
1301884,V0H,59050075,5905052,998,7,2021S065159050075
1344788,V0H,59050075,5905052,998,20,2021S065259050075
895600,V0H,59050076,5905050,997,38,2021S065359050076
938198,V0H,59050076,5905050,997,43,2021S065459050076
1366327,V0H,59050076,5905050,997,53,2021S065559050076
82991,V0H,59050077,5905050,997,22,2021S065659050077
82992,V0H,59050077,5905050,997,18,2021S065759050077
296726,V0H,59050077,5905050,997,16,2021S065859050077
339565,V0H,59050077,5905050,997,18,2021S065959050077
446333,V0H,59050077,5905050,997,19,2021S066059050077
553571,V0H,59050077,5905050,997,12,2021S066159050077
595976,V0H,59050077,5905050,997,18,2021S066259050077
681777,V0H,59050077,5905050,997,18,2021S066359050077
745784,V0H,59050077,5905050,997,11,2021S066459050077
767093,V0H,59050077,5905050,997,14,2021S066559050077
788316,V0H,59050077,5905050,997,1,2021S066659050077
788317,V0H,59050077,5905050,997,15,2021S066759050077
1023853,V0H,59050077,5905050,997,25,2021S066859050077
1088151,V0H,59050077,5905050,997,18,2021S066959050077
1088152,V0H,59050077,5905050,997,20,2021S067059050077
61625,V0H,59050078,5905050,997,10,2021S067159050078
168554,V0H,59050078,5905050,997,34,2021S067259050078
211153,V0H,59050078,5905050,997,30,2021S067359050078
211154,V0H,59050078,5905050,997,26,2021S067459050078
232822,V0H,59050078,5905050,997,14,2021S067559050078
254259,V0H,59050078,5905050,997,2,2021S067659050078
403676,V0H,59050078,5905050,997,3,2021S067759050078
510460,V0H,59050078,5905050,997,27,2021S067859050078
510461,V0H,59050078,5905050,997,7,2021S067959050078
532058,V0H,59050078,5905050,997,32,2021S068059050078
553570,V0H,59050078,5905050,997,5,2021S068159050078
574776,V0H,59050078,5905050,997,35,2021S068259050078
703224,V0H,59050078,5905050,997,12,2021S068359050078
767094,V0H,59050078,5905050,997,11,2021S068459050078
788318,V0H,59050078,5905050,997,28,2021S068559050078
809767,V0H,59050078,5905050,997,32,2021S068659050078
809768,V0H,59050078,5905050,997,38,2021S068759050078
852611,V0H,59050078,5905050,997,34,2021S068859050078
852612,V0H,59050078,5905050,997,38,2021S068959050078
1023854,V0H,59050078,5905050,997,16,2021S069059050078
1152325,V0H,59050078,5905050,997,33,2021S069159050078
1152326,V0H,59050078,5905050,997,9,2021S069259050078
1173760,V0H,59050078,5905050,997,17,2021S069359050078
1259093,V0H,59050078,5905050,997,30,2021S069459050078
1259094,V0H,59050078,5905050,997,24,2021S069559050078
1280672,V0H,59050078,5905050,997,32,2021S069659050078
1366328,V0H,59050078,5905050,997,20,2021S069759050078
125617,V0H,59050079,5905052,998,37,2021S069859050079
254261,V0H,59050079,5905052,998,15,2021S069959050079
403677,V0H,59050079,5905052,998,37,2021S070059050079
425225,V0H,59050079,5905052,998,14,2021S070159050079
425226,V0H,59050079,5905052,998,6,2021S070259050079
617345,V0H,59050079,5905052,998,16,2021S070359050079
767096,V0H,59050079,5905052,998,6,2021S070459050079
831258,V0H,59050079,5905052,998,29,2021S070559050079
852613,V0H,59050079,5905052,998,14,2021S070659050079
980990,V0H,59050079,5905052,998,29,2021S070759050079
1066553,V0H,59050079,5905052,998,14,2021S070859050079
1130810,V0H,59050079,5905052,998,34,2021S070959050079
1152327,V0H,59050079,5905052,998,17,2021S071059050079
1366330,V0H,59050079,5905052,998,34,2021S071159050079
467695,V0H,59050112,5905037,999,0,2021S071259050112
1002600,V0H,59050112,5905037,999,0,2021S071359050112
1173762,V0H,59050112,5905037,999,0,2021S071459050112
61633,V0H,59050113,5905054,997,18,2021S071559050113
104124,V0H,59050113,5905054,997,10,2021S071659050113
104125,V0H,59050113,5905054,997,54,2021S071759050113
168567,V0H,59050113,5905054,997,57,2021S071859050113
168568,V0H,59050113,5905054,997,74,2021S071959050113
189738,V0H,59050113,5905054,997,18,2021S072059050113
232829,V0H,59050113,5905054,997,61,2021S072159050113
254269,V0H,59050113,5905054,997,69,2021S072259050113
254270,V0H,59050113,5905054,997,76,2021S072359050113
339577,V0H,59050113,5905054,997,69,2021S072459050113
446346,V0H,59050113,5905054,997,21,2021S072559050113
532064,V0H,59050113,5905054,997,68,2021S072659050113
532069,V0H,59050113,5905054,997,76,2021S072759050113
574780,V0H,59050113,5905054,997,64,2021S072859050113
595986,V0H,59050113,5905054,997,35,2021S072959050113
681789,V0H,59050113,5905054,997,76,2021S073059050113
703240,V0H,59050113,5905054,997,71,2021S073159050113
724374,V0H,59050113,5905054,997,75,2021S073259050113
724375,V0H,59050113,5905054,997,67,2021S073359050113
809772,V0H,59050113,5905054,997,21,2021S073459050113
852629,V0H,59050113,5905054,997,66,2021S073559050113
874171,V0H,59050113,5905054,997,73,2021S073659050113
874172,V0H,59050113,5905054,997,31,2021S073759050113
916896,V0H,59050113,5905054,997,51,2021S073859050113
959602,V0H,59050113,5905054,997,73,2021S073959050113
959603,V0H,59050113,5905054,997,21,2021S074059050113
980998,V0H,59050113,5905054,997,79,2021S074159050113
981001,V0H,59050113,5905054,997,78,2021S074259050113
1023864,V0H,59050113,5905054,997,48,2021S074359050113
1045297,V0H,59050113,5905054,997,78,2021S074459050113
1045298,V0H,59050113,5905054,997,21,2021S074559050113
1152337,V0H,59050113,5905054,997,80,2021S074659050113
1152338,V0H,59050113,5905054,997,48,2021S074759050113
1173773,V0H,59050113,5905054,997,74,2021S074859050113
1173774,V0H,59050113,5905054,997,72,2021S074959050113
1195137,V0H,59050113,5905054,997,21,2021S075059050113
1237845,V0H,59050113,5905054,997,56,2021S075159050113
1259104,V0H,59050113,5905054,997,75,2021S075259050113
1280685,V0H,59050113,5905054,997,21,2021S075359050113
1301890,V0H,59050113,5905054,997,10,2021S075459050113
1301891,V0H,59050113,5905054,997,30,2021S075559050113
1366333,V0H,59050113,5905054,997,80,2021S075659050113
40106,V0H,59050114,5905054,997,9,2021S075759050114
83001,V0H,59050114,5905054,997,11,2021S075859050114
232831,V0H,59050114,5905054,997,21,2021S075959050114
403686,V0H,59050114,5905054,997,19,2021S076059050114
425232,V0H,59050114,5905054,997,23,2021S076159050114
638773,V0H,59050114,5905054,997,3,2021S076259050114
660429,V0H,59050114,5905054,997,15,2021S076359050114
895609,V0H,59050114,5905054,997,17,2021S076459050114
916895,V0H,59050114,5905054,997,16,2021S076559050114
1023863,V0H,59050114,5905054,997,10,2021S076659050114
1152339,V0H,59050114,5905054,997,18,2021S076759050114
1173772,V0H,59050114,5905054,997,13,2021S076859050114
1366332,V0H,59050114,5905054,997,20,2021S076959050114
147192,V0H,59070160,5907028,997,3,2021S077059070160
275483,V0H,59070160,5907028,997,4,2021S077159070160
382300,V0H,59070160,5907028,997,10,2021S077259070160
703233,V0H,59070160,5907028,997,11,2021S077359070160
724368,V0H,59070160,5907028,997,8,2021S077459070160
724370,V0H,59070160,5907028,997,14,2021S077559070160
1066562,V0H,59070160,5907028,997,4,2021S077659070160
82997,V0H,59070161,5907028,997,6,2021S077759070161
82998,V0H,59070161,5907028,997,9,2021S077859070161
147189,V0H,59070161,5907028,997,14,2021S077959070161
168561,V0H,59070161,5907028,997,6,2021S078059070161
532063,V0H,59070161,5907028,997,16,2021S078159070161
638768,V0H,59070161,5907028,997,16,2021S078259070161
895606,V0H,59070161,5907028,997,4,2021S078359070161
1066563,V0H,59070161,5907028,997,14,2021S078459070161
1109361,V0H,59070161,5907028,997,9,2021S078559070161
1109364,V0H,59070161,5907028,997,16,2021S078659070161
1280679,V0H,59070161,5907028,997,15,2021S078759070161
211158,V0H,59070162,5907014,997,8,2021S078859070162
681784,V0H,59070162,5907014,997,5,2021S078959070162
852620,V0H,59070162,5907014,997,8,2021S079059070162
874168,V0H,59070162,5907014,997,6,2021S079159070162
1023860,V0H,59070162,5907014,997,1,2021S079259070162
1066564,V0H,59070162,5907014,997,5,2021S079359070162
1130819,V0H,59070162,5907014,997,8,2021S079459070162
1130820,V0H,59070162,5907014,997,2,2021S079559070162
40101,V0H,59070164,5907014,997,3,2021S079659070164
489266,V0H,59070164,5907014,997,7,2021S079759070164
510467,V0H,59070164,5907014,997,1,2021S079859070164
553580,V0H,59070164,5907014,997,4,2021S079959070164
1023859,V0H,59070164,5907014,997,2,2021S080059070164
1066566,V0H,59070164,5907014,997,2,2021S080159070164
1173769,V0H,59070164,5907014,997,8,2021S080259070164
1195134,V0H,59070164,5907014,997,2,2021S080359070164
18793,V0H,59070165,5907014,997,21,2021S080459070165
18794,V0H,59070165,5907014,997,1,2021S080559070165
40102,V0H,59070165,5907014,997,29,2021S080659070165
61629,V0H,59070165,5907014,997,29,2021S080759070165
147193,V0H,59070165,5907014,997,27,2021S080859070165
168560,V0H,59070165,5907014,997,1,2021S080959070165
211159,V0H,59070165,5907014,997,6,2021S081059070165
232827,V0H,59070165,5907014,997,29,2021S081159070165
275486,V0H,59070165,5907014,997,28,2021S081259070165
296731,V0H,59070165,5907014,997,14,2021S081359070165
296734,V0H,59070165,5907014,997,1,2021S081459070165
382301,V0H,59070165,5907014,997,10,2021S081559070165
446341,V0H,59070165,5907014,997,28,2021S081659070165
510468,V0H,59070165,5907014,997,7,2021S081759070165
788323,V0H,59070165,5907014,997,14,2021S081859070165
831265,V0H,59070165,5907014,997,2,2021S081959070165
959596,V0H,59070165,5907014,997,14,2021S082059070165
1045291,V0H,59070165,5907014,997,28,2021S082159070165
1045293,V0H,59070165,5907014,997,26,2021S082259070165
1066565,V0H,59070165,5907014,997,3,2021S082359070165
1130816,V0H,59070165,5907014,997,3,2021S082459070165
40099,V0H,59070166,5907014,997,20,2021S082559070166
275484,V0H,59070166,5907014,997,15,2021S082659070166
446340,V0H,59070166,5907014,997,16,2021S082759070166
617348,V0H,59070166,5907014,997,16,2021S082859070166
1109362,V0H,59070166,5907014,997,19,2021S082959070166
1173767,V0H,59070166,5907014,997,20,2021S083059070166
1280678,V0H,59070166,5907014,997,22,2021S083159070166
61628,V0H,59070168,5907014,997,5,2021S083259070168
104118,V0H,59070168,5907014,997,1,2021S083359070168
254264,V0H,59070168,5907014,997,9,2021S083459070168
339576,V0H,59070168,5907014,997,9,2021S083559070168
745794,V0H,59070168,5907014,997,3,2021S083659070168
788324,V0H,59070168,5907014,997,2,2021S083759070168
18795,V0H,59070169,5907014,997,2,2021S083859070169
40098,V0H,59070169,5907014,997,1,2021S083959070169
275485,V0H,59070169,5907014,997,8,2021S084059070169
681782,V0H,59070169,5907014,997,7,2021S084159070169
681783,V0H,59070169,5907014,997,5,2021S084259070169
767101,V0H,59070169,5907014,997,7,2021S084359070169
831264,V0H,59070169,5907014,997,7,2021S084459070169
1066561,V0H,59070169,5907014,997,2,2021S084559070169
1088156,V0H,59070169,5907014,997,2,2021S084659070169
1130817,V0H,59070169,5907014,997,6,2021S084759070169
1259099,V0H,59070169,5907014,997,7,2021S084859070169
40100,V0H,59070170,5907028,997,7,2021S084959070170
595981,V0H,59070170,5907028,997,7,2021S085059070170
874169,V0H,59070170,5907028,997,8,2021S085159070170
959599,V0H,59070170,5907028,997,7,2021S085259070170
18796,V0H,59070171,5907028,997,1,2021S085359070171
189733,V0H,59070171,5907028,997,10,2021S085459070171
254263,V0H,59070171,5907028,997,11,2021S085559070171
254265,V0H,59070171,5907028,997,10,2021S085659070171
489265,V0H,59070171,5907028,997,13,2021S085759070171
767102,V0H,59070171,5907028,997,4,2021S085859070171
980997,V0H,59070171,5907028,997,2,2021S085959070171
1002604,V0H,59070171,5907028,997,9,2021S086059070171
1109363,V0H,59070171,5907028,997,3,2021S086159070171
1130818,V0H,59070171,5907028,997,13,2021S086259070171
1216453,V0H,59070171,5907028,997,14,2021S086359070171
1301888,V0H,59070171,5907028,997,9,2021S086459070171
61627,V0H,59070173,5907047,913,16,2021S086559070173
104117,V0H,59070173,5907047,913,13,2021S086659070173
125622,V0H,59070173,5907047,913,15,2021S086759070173
189731,V0H,59070173,5907047,913,1,2021S086859070173
339573,V0H,59070173,5907047,913,9,2021S086959070173
339574,V0H,59070173,5907047,913,13,2021S087059070173
382299,V0H,59070173,5907047,913,12,2021S087159070173
489263,V0H,59070173,5907047,913,17,2021S087259070173
574777,V0H,59070173,5907047,913,15,2021S087359070173
617347,V0H,59070173,5907047,913,1,2021S087459070173
703231,V0H,59070173,5907047,913,14,2021S087559070173
724365,V0H,59070173,5907047,913,10,2021S087659070173
852619,V0H,59070173,5907047,913,13,2021S087759070173
1045289,V0H,59070173,5907047,913,11,2021S087859070173
1152330,V0H,59070173,5907047,913,13,2021S087959070173
125623,V0H,59070174,5907047,913,4,2021S088059070174
147188,V0H,59070174,5907047,913,1,2021S088159070174
275480,V0H,59070174,5907047,913,6,2021S088259070174
382298,V0H,59070174,5907047,913,6,2021S088359070174
467702,V0H,59070174,5907047,913,6,2021S088459070174
724366,V0H,59070174,5907047,913,7,2021S088559070174
1152329,V0H,59070174,5907047,913,4,2021S088659070174
1195133,V0H,59070174,5907047,913,4,2021S088759070174
18791,V0H,59070175,5907047,913,12,2021S088859070175
147187,V0H,59070175,5907047,913,14,2021S088959070175
339575,V0H,59070175,5907047,913,12,2021S089059070175
724367,V0H,59070175,5907047,913,2,2021S089159070175
831261,V0H,59070175,5907047,913,4,2021S089259070175
831262,V0H,59070175,5907047,913,5,2021S089359070175
1066559,V0H,59070175,5907047,913,1,2021S089459070175
1109359,V0H,59070175,5907047,913,14,2021S089559070175
1152331,V0H,59070175,5907047,913,13,2021S089659070175
125620,V0H,59070178,5907048,913,8,2021S089759070178
382295,V0H,59070178,5907048,913,19,2021S089859070178
745790,V0H,59070178,5907048,913,18,2021S089959070178
745791,V0H,59070178,5907048,913,2,2021S090059070178
874166,V0H,59070178,5907048,913,15,2021S090159070178
938201,V0H,59070178,5907048,913,9,2021S090259070178
1045288,V0H,59070178,5907048,913,17,2021S090359070178
1216449,V0H,59070178,5907048,913,7,2021S090459070178
83003,V0H,59070183,5907035,996,2,2021S090559070183
168570,V0H,59070183,5907035,996,11,2021S090659070183
296742,V0H,59070183,5907035,996,16,2021S090759070183
467714,V0H,59070183,5907035,996,14,2021S090859070183
489274,V0H,59070183,5907035,996,15,2021S090959070183
767105,V0H,59070183,5907035,996,4,2021S091059070183
895611,V0H,59070183,5907035,996,3,2021S091159070183
1109368,V0H,59070183,5907035,996,12,2021S091259070183
1195141,V0H,59070183,5907035,996,9,2021S091359070183
296740,V0H,59070184,5907035,996,5,2021S091459070184
361007,V0H,59070184,5907035,996,6,2021S091559070184
382310,V0H,59070184,5907035,996,5,2021S091659070184
638777,V0H,59070184,5907035,996,9,2021S091759070184
724377,V0H,59070184,5907035,996,9,2021S091859070184
767104,V0H,59070184,5907035,996,5,2021S091959070184
895612,V0H,59070184,5907035,996,9,2021S092059070184
1002610,V0H,59070184,5907035,996,7,2021S092159070184
1088159,V0H,59070184,5907035,996,1,2021S092259070184
1323166,V0H,59070184,5907035,996,6,2021S092359070184
61638,V0H,59070185,5907035,996,4,2021S092459070185
211163,V0H,59070185,5907035,996,4,2021S092559070185
425237,V0H,59070185,5907035,996,14,2021S092659070185
595989,V0H,59070185,5907035,996,9,2021S092759070185
617352,V0H,59070185,5907035,996,5,2021S092859070185
617353,V0H,59070185,5907035,996,3,2021S092959070185
1066577,V0H,59070185,5907035,996,6,2021S093059070185
1109369,V0H,59070185,5907035,996,13,2021S093159070185
104126,V0H,59070186,5907035,996,26,2021S093259070186
318100,V0H,59070186,5907035,996,29,2021S093359070186
361006,V0H,59070186,5907035,996,23,2021S093459070186
382308,V0H,59070186,5907035,996,25,2021S093559070186
489270,V0H,59070186,5907035,996,4,2021S093659070186
510473,V0H,59070186,5907035,996,3,2021S093759070186
617350,V0H,59070186,5907035,996,16,2021S093859070186
724376,V0H,59070186,5907035,996,31,2021S093959070186
831268,V0H,59070186,5907035,996,21,2021S094059070186
895610,V0H,59070186,5907035,996,27,2021S094159070186
1237846,V0H,59070186,5907035,996,27,2021S094259070186
1259106,V0H,59070186,5907035,996,31,2021S094359070186
40107,V0H,59070187,5907035,996,4,2021S094459070187
254273,V0H,59070187,5907035,996,6,2021S094559070187
660430,V0H,59070187,5907035,996,7,2021S094659070187
852631,V0H,59070187,5907035,996,5,2021S094759070187
61635,V0H,59070188,5907035,996,12,2021S094859070188
125628,V0H,59070188,5907035,996,19,2021S094959070188
275490,V0H,59070188,5907035,996,12,2021S095059070188
318102,V0H,59070188,5907035,996,25,2021S095159070188
425235,V0H,59070188,5907035,996,1,2021S095259070188
489272,V0H,59070188,5907035,996,19,2021S095359070188
638775,V0H,59070188,5907035,996,28,2021S095459070188
660432,V0H,59070188,5907035,996,26,2021S095559070188
809773,V0H,59070188,5907035,996,28,2021S095659070188
938212,V0H,59070188,5907035,996,27,2021S095759070188
1066573,V0H,59070188,5907035,996,16,2021S095859070188
1259105,V0H,59070188,5907035,996,27,2021S095959070188
168569,V0H,59070189,5907035,996,1,2021S096059070189
1280687,V0H,59070189,5907035,996,11,2021S096159070189
104127,V0H,59070190,5907035,996,8,2021S096259070190
254271,V0H,59070190,5907035,996,5,2021S096359070190
361005,V0H,59070190,5907035,996,2,2021S096459070190
382309,V0H,59070190,5907035,996,7,2021S096559070190
403687,V0H,59070190,5907035,996,9,2021S096659070190
467710,V0H,59070190,5907035,996,2,2021S096759070190
467712,V0H,59070190,5907035,996,7,2021S096859070190
981002,V0H,59070190,5907035,996,2,2021S096959070190
1045299,V0H,59070190,5907035,996,11,2021S097059070190
1130825,V0H,59070190,5907035,996,7,2021S097159070190
1323165,V0H,59070190,5907035,996,2,2021S097259070190
1323167,V0H,59070190,5907035,996,8,2021S097359070190
147199,V0H,59070191,5907035,996,7,2021S097459070191
745802,V0H,59070191,5907035,996,6,2021S097559070191
831270,V0H,59070191,5907035,996,5,2021S097659070191
916897,V0H,59070191,5907035,996,5,2021S097759070191
532070,V0H,59070192,5907035,996,2,2021S097859070192
660431,V0H,59070192,5907035,996,10,2021S097959070192
745799,V0H,59070192,5907035,996,10,2021S098059070192
1088160,V0H,59070192,5907035,996,19,2021S098159070192
83006,V0H,59070193,5907035,996,2,2021S098259070193
489273,V0H,59070193,5907035,996,3,2021S098359070193
1002611,V0H,59070193,5907035,996,9,2021S098459070193
1066574,V0H,59070193,5907035,996,6,2021S098559070193
1280686,V0H,59070193,5907035,996,9,2021S098659070193
147200,V0H,59070194,5907035,996,2,2021S098759070194
703244,V0H,59070194,5907035,996,3,2021S098859070194
745803,V0H,59070194,5907035,996,1,2021S098959070194
916898,V0H,59070194,5907035,996,4,2021S099059070194
40108,V0H,59070195,5907035,996,3,2021S099159070195
83004,V0H,59070195,5907035,996,5,2021S099259070195
510475,V0H,59070195,5907035,996,2,2021S099359070195
617351,V0H,59070195,5907035,996,2,2021S099459070195
703242,V0H,59070195,5907035,996,4,2021S099559070195
767106,V0H,59070195,5907035,996,6,2021S099659070195
852630,V0H,59070195,5907035,996,3,2021S099759070195
1195138,V0H,59070195,5907035,996,1,2021S099859070195
1366334,V0H,59070195,5907035,996,1,2021S099959070195
18803,V0H,59070196,5907035,996,6,2021S100059070196
61636,V0H,59070196,5907035,996,13,2021S100159070196
61637,V0H,59070196,5907035,996,18,2021S100259070196
83002,V0H,59070196,5907035,996,5,2021S100359070196
318103,V0H,59070196,5907035,996,1,2021S100459070196
574786,V0H,59070196,5907035,996,12,2021S100559070196
595987,V0H,59070196,5907035,996,6,2021S100659070196
681792,V0H,59070196,5907035,996,19,2021S100759070196
703241,V0H,59070196,5907035,996,2,2021S100859070196
831269,V0H,59070196,5907035,996,7,2021S100959070196
1130824,V0H,59070196,5907035,996,13,2021S101059070196
1280688,V0H,59070196,5907035,996,11,2021S101159070196
1301892,V0H,59070196,5907035,996,1,2021S101259070196
18804,V0H,59070197,5907035,996,7,2021S101359070197
104128,V0H,59070197,5907035,996,20,2021S101459070197
724378,V0H,59070197,5907035,996,17,2021S101559070197
1023866,V0H,59070197,5907035,996,18,2021S101659070197
1195139,V0H,59070197,5907035,996,3,2021S101759070197
40109,V0H,59070198,5907035,996,8,2021S101859070198
83005,V0H,59070198,5907035,996,4,2021S101959070198
425236,V0H,59070198,5907035,996,5,2021S102059070198
467711,V0H,59070198,5907035,996,5,2021S102159070198
